"DRG.Code","drg"
1,"Liver transplant &/or intestinal transplant"
2,"Heart &/or lung transplant"
3,"Bone marrow transplant"
4,"Tracheostomy w MV 96+ hours w extensive procedure or ECMO"
5,"Tracheostomy w MV 96+ hours w/o extensive procedure"
6,"Pancreas transplant"
20,"Craniotomy for trauma"
21,"Craniotomy except for trauma"
22,"Ventricular shunt procedures"
23,"Spinal procedures"
24,"Extracranial vascular procedures"
26,"Other nervous system & related procedures"
40,"Spinal disorders & injuries"
41,"Nervous system malignancy"
42,"Degenerative nervous system disorders exc mult sclerosis"
43,"Multiple sclerosis & other demyelinating diseases"
44,"Intracranial hemorrhage"
45,"CVA & precerebral occlusion w infarct"
46,"Nonspecific CVA & precerebral occlusion w/o infarct"
47,"Transient ischemia"
48,"Peripheral, cranial & autonomic nerve disorders"
49,"Bacterial & tuberculous infections of nervous system"
50,"Non-bacterial infections of nervous system exc viral meningitis"
51,"Viral meningitis"
52,"Nontraumatic stupor & coma"
53,"Seizure"
54,"Migraine & other headaches"
55,"Head trauma w coma >1 hr or hemorrhage"
56,"Brain contusion/laceration & complicated skull Fx, coma < 1 hr or no coma"
57,"Concussion, closed skull Fx nos,uncomplicated intracranial injury, coma < 1 hr or no coma"
58,"Other disorders of nervous system"
70,"Orbital procedures"
73,"Eye procedures except orbit"
80,"Acute major eye infections"
82,"Eye disorders except major infections"
89,"Major cranial/facial bone procedures"
90,"Major larynx & trachea procedures"
91,"Other major head & neck procedures"
92,"Facial bone procedures except major cranial/facial bone procedures"
93,"Sinus & mastoid procedures"
95,"Cleft lip & palate repair"
97,"Tonsil & adenoid procedures"
98,"Other ear, nose, mouth & throat procedures"
110,"Ear, nose, mouth, throat, cranial/facial malignancies"
111,"Vertigo & other labyrinth disorders"
113,"Infections of upper respiratory tract"
114,"Dental & oral diseases & injuries"
115,"Other ear, nose, mouth,throat & cranial/facial diagnoses"
120,"Major respiratory & chest procedures"
121,"Other respiratory & chest procedures"
130,"Respiratory system diagnosis w ventilator support 96+ hours"
131,"Cystic fibrosis - pulmonary disease"
132,"BPD & oth chronic respiratory diseases arising in perinatal period"
133,"Respiratory Failure"
134,"Pulmonary embolism"
135,"Major chest & respiratory trauma"
136,"Respiratory malignancy"
137,"Major respiratory infections & inflammations"
138,"Bronchiolitis & RSV pneumonia"
139,"Other pneumonia"
140,"Chronic obstructive pulmonary disease"
141,"Asthma"
142,"Interstitial & alveolar lung diseases"
143,"Other respiratory diagnoses except signs, symptoms & minor diagnoses"
144,"Respiratory signs, symptoms & minor diagnoses"
160,"Major cardiothoracic repair of heart anomaly"
161,"Cardiac defibrillator & heart assist implant"
162,"Cardiac valve procedures w AMI or complex PDX"
163,"Cardiac valve procedures w/o AMI or complex PDX"
165,"Coronary bypass w AMI or complex PDX"
166,"Coronary bypass w/o AMI or complex PDX"
167,"Other cardiothoracic & thoracic vascular procedures"
169,"Major abdominal vascular procedures"
170,"Permanent cardiac pacemaker implant w AMI, heart failure or shock"
171,"Perm cardiac pacemaker implant w/o AMI, heart failure or shock"
173,"OTHER VASCULAR PROCEDURES"
174,"Percutaneous coronary intervention w AMI"
175,"Percutaneous coronary intervention w/o AMI"
176,"Cardiac pacemaker & defibrillator device replacement"
177,"Cardiac pacemaker & defibrillator revision except device replacement"
180,"Other circulatory system procedures"
190,"Acute myocardial infarction"
191,"Cardiac catheterization for coronary artery disease"
192,"Cardiac catheterization for other non-coronary conditions"
193,"Acute & subacute endocarditis"
194,"Heart failure"
196,"Cardiac arrest and shock"
197,"Peripheral & other vascular disorders"
198,"Angina pectoris & coronary atherosclerosis"
199,"Hypertension"
200,"Cardiac structural & valvular disorders"
201,"Cardiac arrhythmia & conduction disorders"
203,"Chest pain"
204,"Syncope & collapse"
205,"Cardiomyopathy"
206,"Malfunction,reaction,complication of cardiac/vasc device or procedure"
207,"Other circulatory system diagnoses"
220,"Major stomach, esophageal & duodenal procedures"
221,"Major small & large bowel procedures"
222,"Other stomach, esophageal & duodenal procedures"
223,"Other small & large bowel procedures"
224,"Peritoneal adhesiolysis"
225,"Appendectomy"
226,"Anal procedures"
227,"Hernia procedures except inguinal, femoral & umbilical"
228,"Inguinal, femoral & umbilical hernia procedures"
229,"Other digestive system & abdominal procedures"
240,"Digestive malignancy"
241,"Peptic ulcer & gastritis"
242,"Major esophageal disorders"
243,"Other esophageal disorders"
244,"Diverticulitis & diverticulosis"
245,"Inflammatory bowel disease"
246,"Gastrointestinal vascular insufficiency"
247,"Intestinal obstruction"
248,"Major gastrointestinal & peritoneal infections"
249,"Other gastroenteritis, nausa & vomiting"
251,"Abdominal pain"
252,"Malfunction, reaction & complication of GI device or procedure"
253,"Other & unspecified gastrointestinal hemorrhage"
254,"Other digestive system diagnoses"
260,"Major pancreas, liver & shunt procedures"
261,"Major biliary tract procedures"
262,"Cholecystectomy except laparoscopic"
263,"Laparoscopic cholecystectomy"
264,"Other hepatobiliary, pancreas & abdominal procedures"
279,"Hepatic coma & other major acute liver disorders"
280,"Alcoholic liver disease"
281,"Malignancy of hepatobiliary system & pancreas"
282,"Disorders of pancreas except malignancy"
283,"Other disorders of the liver"
284,"Disorders of gallbladder & biliary tract"
301,"Hip joint replacement"
302,"Knee joint replacement"
303,"Dorsal & lumbar fusion proc for curvature of back"
304,"Dorsal & lumbar fusion proc except for curvature of back"
305,"Amputation of lower limb except toes"
308,"Hip and femur fracture repair"
309,"Other significant hip and femur surgery"
310,"Intervertebral disc excision & decompression"
312,"Skin graft, except hand, for musculoskeletal & connective tissue diagnoses"
313,"Knee & lower leg procedures except foot"
314,"Foot & toe procedures"
315,"Shoulder, upper arm & forearm procedures except joint replacement"
316,"Hand & wrist procedures"
317,"Tendon, muscle & other soft tissue procedures"
320,"Other musculoskeletal system & connective tissue procedures"
321,"Cervical spinal fusion & other back/neck proc exc disc excis/decomp"
340,"Fracture of femur"
341,"Fracture of pelvis or dislocation of hip"
342,"Fractures & dislocations except femur, pelvis & back"
343,"Musculoskeletal malignancy & pathol fracture d/t muscskel malig"
344,"Osteomyelitis, septic arthritis & other musculoskeletal infections"
346,"Connective tissue disorders"
347,"Other back & neck disorders, fractures & injuries"
349,"Malfunction, reaction, complic of orthopedic device or procedure"
351,"Other musculoskeletal system & connective tissue diagnoses"
361,"Skin graft for skin & subcutaneous tissue diagnoses"
362,"Mastectomy procedures"
363,"Breast procedures except mastectomy"
364,"Other skin, subcutaneous tissue & related procedures"
380,"Skin ulcers"
381,"Major skin disorders"
382,"Malignant breast disorders"
383,"Cellulitis & other skin infections"
384,"Contusion, open wound & other trauma to skin & subcutaneous tissue"
385,"Other skin, subcutaneous tissue & breast disorders"
401,"Pituitary & adrenal procedures"
403,"Procedures for obesity"
404,"Thyroid, parathyroid & thyroglossal procedures"
405,"Other procedures for endocrine, nutritional & metabolic disorders"
420,"Diabetes"
421,"Malnutrition, failure to thrive & other nutritional disorders"
422,"Hypovolemia & related electrolyte disorders"
423,"Inborn errors of metabolism"
424,"Other endocrine disorders"
425,"Electrolyte disorders except hypovolemia related"
440,"Kidney transplant"
441,"Major bladder procedures"
442,"Kidney & urinary tract procedures for malignancy"
443,"Kidney & urinary tract procedures for nonmalignancy"
444,"Renal dialysis access device procedure only"
445,"Other bladder procedures"
446,"Urethral & transurethral procedures"
447,"Other kidney, urinary tract & related procedures"
460,"RENAL FAILURE"
461,"Kidney & urinary tract malignancy"
462,"Nephritis & nephrosis"
463,"Kidney & urinary tract infections"
465,"Urinary stones & acquired upper urinary tract obstruction"
466,"Malfunction, reaction, complic of genitourinary device or proc"
468,"Other kidney & urinary tract diagnoses, signs & symptoms"
480,"Major male pelvic procedures"
481,"Penis procedures"
482,"Transurethral prostatectomy"
483,"Testes & scrotal procedures"
484,"Other male reproductive system & related procedures"
500,"Malignancy, male reproductive system"
501,"Male reproductive system diagnoses except malignancy"
510,"Pelvic evisceration, radical hysterectomy & other radical GYN procs"
511,"Uterine & adnexa procedures for ovarian & adnexal malignancy"
512,"Uterine & adnexa procedures for non-ovarian & non-adnexal malig"
513,"Uterine & adnexa procedures for non-malignancy except leiomyoma"
514,"Female reproductive system reconstructive procedures"
517,"Dilation & curettage for non-obstetric diagnoses"
518,"Other female reproductive system & related procedures"
