Zip Code,Median Income (family)
147,33675
148,33592
141,30614
145,31257
140,30614
142,30614
144,31257
132,38794
143,34377
137,43436
133,30818
134,30818
146,31255
104,35302
136,36115
130,38794
131,38794
135,30818
105,71891
138,43436
117,74366
112,52782
106,92215
120,75261
100,57782
139,43436
149,33592
124,41806
129,46337
103,76224
123,41158
125,35779
122,78110
128,60545
121,78110
113,39804
119,60939
109,74937
111,66382
110,137243
127,29554
114,48559
126,35779
115,71042
107,53233
108,88004
118,99980
116,27820
101,57782
